"인쇄회로기판",107.31,107.29,107.24,107.91,107.92,107.50
"인쇄회로기판및실장기판",107.31,107.29,107.24,107.91,107.92,107.50
"기타전자부품",131.08,132.22,131.22,131.36,132.07,131.37
"축전기,저항기,전자코일및변성기",133.75,133.41,133.33,133.67,136.39,133.46
"기타전자부품",130.46,132.52,130.94,130.98,130.42,131.11
"컴퓨터및주변기기",96.12,96.12,96.12,96.43,96.43,96.43
"컴퓨터및주변기기",96.12,96.12,96.12,96.43,96.43,96.43
"컴퓨터",99.55,99.55,99.55,100.17,100.17,100.17
"컴퓨터기억장치",75.50,75.50,75.50,75.50,75.50,75.50
"컴퓨터주변기기",99.75,99.75,99.75,99.75,99.75,99.75
"통신,방송및영상,음향기기",79.58,77.11,76.89,76.18,76.12,76.52
"통신및방송장비",74.61,71.68,71.43,70.58,70.51,71.01
"유선통신기기",136.16,136.16,136.16,136.16,136.16,136.16
"이동전화기",60.45,56.98,56.68,55.47,55.47,56.12
"기타무선통신장비및방송장비",107.35,105.50,105.36,105.77,105.35,105.35
"영상및음향기기",99.74,99.74,99.75,99.73,99.72,99.66
"TV",98.51,98.51,98.51,98.51,98.51,98.51
"영상기기",99.20,99.13,99.21,99.12,99.02,98.62
"오디오및음향기기",101.29,101.29,101.29,101.29,101.29,101.29
"정밀기기",115.69,115.69,115.89,115.38,115.78,115.63
"의료및측정기기",118.06,118.10,118.32,117.76,118.23,118.05
"의료용기기",102.72,102.92,102.92,102.82,102.82,102.82
"측정및분석기기",124.27,124.44,124.34,124.30,124.39,124.21
"자동조정및제어기기",124.63,124.27,125.26,123.27,124.97,124.56
"기타정밀기기",104.78,104.54,104.55,104.40,104.42,104.42
"사진기및영사기",109.27,109.40,109.43,109.43,109.45,109.45
"기타광학기기",95.95,94.80,94.80,94.28,94.28,94.28
"전기장비",125.64,126.04,127.04,126.95,124.80,125.01
"전기장비",125.64,126.04,127.04,126.95,124.80,125.01
"발전기및전동기",116.93,116.93,116.93,117.08,117.08,117.47
"발전기및전동기",116.93,116.93,116.93,117.08,117.08,117.47
"전기변환.공급제어장치",117.69,117.78,120.10,121.43,121.46,121.71
"변압기",167.47,168.75,171.48,170.96,170.96,175.26
"전기변환장치",123.22,123.22,123.22,128.91,128.91,128.91
"전기회로개폐및접속장치",109.21,109.14,109.14,108.86,108.92,108.61
"배전반및전기자동제어반",108.65,108.67,112.70,114.16,114.16,114.11
"전지",127.72,127.28,127.28,127.68,120.25,120.62
"전지",127.72,127.28,127.28,127.68,120.25,120.62
"전선및케이블",176.92,180.56,186.24,180.67,179.78,180.58
"전선및케이블",176.92,180.56,186.24,180.67,179.78,180.58
"가정용전기기기",105.53,105.56,105.61,105.51,105.56,105.48
"가정용냉장고및냉동고",100.99,100.99,100.99,100.99,100.99,100.99
"주방용및난방용전기기기",109.26,109.43,109.27,109.27,109.52,109.71
"기타가정용전기기기",105.51,105.51,105.69,105.46,105.46,105.21
"기타전기장비",118.87,119.61,119.68,119.61,119.37,119.21
"전구및램프",103.05,103.05,103.17,103.17,103.17,103.17
"조명장치",110.83,110.71,110.71,110.68,110.69,110.74
"기타전기장비",126.66,127.96,128.06,127.97,127.57,127.27
"기계및장비",111.17,111.27,111.53,111.80,111.86,111.69
"일반목적용기계",115.69,115.85,116.24,116.55,116.72,116.39
"내연기관및터빈",124.44,125.74,125.74,125.74,126.22,126.22
"내연기관및터빈",124.44,125.74,125.74,125.74,126.22,126.22
"펌프및압축기",121.33,121.57,121.57,121.11,121.11,121.11
"펌프및압축기",121.33,121.57,121.57,121.11,121.11,121.11
"일반목적용기계부품",115.95,115.95,116.10,116.19,116.38,116.38
"밸브",113.76,113.76,114.02,114.16,114.28,114.28
"베어링,기어및동력전달장치",118.59,118.59,118.59,118.59,118.89,118.89
"산업용운반기계",113.90,113.90,113.90,113.90,113.90,113.90
"산업용운반기계",113.90,113.90,113.90,113.90,113.90,113.90
"공기및액체조절장치",111.05,111.22,111.28,112.14,112.49,112.82
"공기조절장치및냉장냉동장비",112.70,112.96,113.06,113.17,113.73,114.02
"공기및액체여과기",107.96,107.96,107.96,110.09,110.09,110.51
"기타일반목적용기계",119.07,119.07,121.39,121.64,121.55,118.46
"사무용기기",107.83,107.90,107.90,107.90,107.35,107.35
"기타일반목적용기계",121.92,121.92,124.68,124.98,124.98,121.29
"특수목적용기계",106.36,106.40,106.56,106.77,106.71,106.71
"농업및건설용기계",108.24,108.24,109.05,110.12,110.12,110.12
"농업용기계",100.33,100.33,102.08,102.08,102.08,102.08
"건설및광물처리기계",113.62,113.62,113.62,115.57,115.57,115.57
"금속가공용기계",113.35,114.12,114.25,114.33,113.88,113.81
"금속가공용기계",113.35,114.12,114.25,114.33,113.88,113.81
"금형및주형",111.39,111.29,111.34,111.27,111.37,111.51
"금형및주형",111.39,111.29,111.34,111.27,111.37,111.51
"반도체및디스플레이제조용기계",100.14,100.14,100.14,100.14,100.14,100.14
"반도체제조용기계",100.44,100.44,100.44,100.44,100.44,100.44
"디스플레이제조용기계",98.94,98.94,98.94,98.94,98.94,98.94
"기타특수목적용기계",106.80,106.73,106.81,107.18,107.00,106.88
"산업용로봇",104.54,104.43,104.43,104.29,104.29,104.29
"제지및인쇄기계",100.00,100.00,100.00,100.00,100.00,100.00
"고무및플라스틱성형기계",110.23,110.23,110.45,110.59,110.80,110.80
"기타특수목적용기계",110.68,110.60,110.69,111.44,111.04,110.80
"운송장비",108.20,108.26,108.34,108.26,108.31,108.36
"자동차",108.20,108.26,108.34,108.25,108.29,108.36
"자동차",107.70,107.73,107.76,107.85,107.94,108.13
"승용차",107.53,107.56,107.58,107.71,107.81,107.93
"버스",109.30,109.30,109.30,109.30,109.30,109.30
"트럭",108.59,108.59,108.59,108.59,108.59,109.42
"특장차및트레일러",110.79,110.79,110.79,110.79,110.79,110.79
"특장차",110.79,110.79,110.79,110.79,110.79,110.79
"자동차부품",108.24,108.32,108.43,108.25,108.29,108.29
"자동차용엔진",106.39,106.65,106.91,104.48,104.65,104.65
"자동차부분품",108.69,108.73,108.79,109.19,109.18,109.18
"기타운송장비",107.12,107.12,107.12,108.80,108.80,108.80
"기타운송장비",107.12,107.12,107.12,108.80,108.80,108.80
"모터사이클",107.12,107.12,107.12,108.80,108.80,108.80
"기타제조업제품",125.06,125.09,125.13,125.48,125.48,125.46
"기타제조업제품",125.06,125.09,125.13,125.48,125.48,125.46
"가구",129.40,129.46,129.46,129.23,129.23,129.23
"목재가구",132.59,132.59,132.59,132.59,132.59,132.59
"금속가구",120.21,120.56,120.56,121.61,121.61,121.61
"기타가구",122.77,122.77,122.77,119.01,119.01,119.01
"기타제조업제품",117.96,117.96,118.07,119.12,119.12,119.09
"장난감및오락용품",98.56,98.56,98.56,105.54,105.54,105.54
"운동및경기용품",102.59,102.59,102.59,102.59,102.59,102.59
"문구용품",129.50,129.50,129.50,129.50,129.50,129.50
"기타제조업제품",131.02,131.02,131.24,131.67,131.67,131.59
"전력,가스,수도및폐기물",150.91,150.87,150.55,151.13,150.25,150.10
"전력,가스및증기",162.20,162.08,161.66,162.41,161.25,160.91
"전력",161.19,161.19,161.19,161.19,161.19,161.19
"전력",161.19,161.19,161.19,161.19,161.19,161.19
"전력",161.19,161.19,161.19,161.19,161.19,161.19
"가스,증기및온수",160.25,159.99,158.89,160.78,157.91,157.02
"도시가스",160.32,159.74,158.64,160.66,157.51,156.59
"도시가스",160.32,159.74,158.64,160.66,157.51,156.59
"증기및온수공급",158.55,160.11,159.02,160.20,158.90,158.23
"증기및온수공급",158.55,160.11,159.02,160.20,158.90,158.23
"수도,폐기물처리및재활용서비스",110.75,110.92,110.94,110.95,110.96,111.37
"수도",116.16,116.36,116.36,116.36,116.36,118.42
"수도",116.16,116.36,116.36,116.36,116.36,118.42
"수도",116.16,116.36,116.36,116.36,116.36,118.42
"폐수처리",119.90,120.41,120.51,120.54,120.56,121.17
